edge_key,two_representation_edge_probability,primary_mutual_probability,sensitivity_mutual_probability,bootstrap_band
ALBL-7e9a60002d7d27bc747175d30b340b7dc85f9fd3a264c05f42b5130737e9af57|ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,0.236000,0.432000,0.264000,low
ALBL-851b250b2304762b91768b5123950704538062116628ddfaa11d82ce5c5be520|ALBL-df36480d1c39db0bd7c57e8729258ffe1f0e03d719943c6ade41e38e9f4c0dcd,0.232000,0.260000,0.312000,low
ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac|ALBL-d7bb01eb8d746f1f9d0a1c46bb8ab67c980a36f3fbbdf2d4671c7ce7e040539c,0.228000,0.228000,0.480000,low
ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac|ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,0.220000,0.332000,0.368000,low
ALBL-d7bb01eb8d746f1f9d0a1c46bb8ab67c980a36f3fbbdf2d4671c7ce7e040539c|ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,0.220000,0.432000,0.280000,low
ALBL-d979019ce70ed85f25885322d6573ee2b06fc89d5d3a312f05d0e571d3c1e6b9|ALBL-e9a4c85e9728ea650fe95413c3e3e10896819996b77097c55e8b48164ad00e35,0.220000,0.228000,0.300000,low
ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55|ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0,0.216000,0.220000,0.280000,low
ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971|ALBL-cec5217a1ba6f2e262da20bd31748b0bc5f4f0dcc7dbf9542cd8d69ed4719a82,0.216000,0.436000,0.228000,low
ALBL-50741b2ec0bf3af4af14534601eb2b25106535e1be6e7fa756e6062fa54090e3|ALBL-e3629c2151d449562136201f8da51770a96f0b5e1d3ab3324e65c4f2fe40256d,0.208000,0.260000,0.368000,low
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0|ALBL-e9a4c85e9728ea650fe95413c3e3e10896819996b77097c55e8b48164ad00e35,0.208000,0.312000,0.244000,low
ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab|ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,0.204000,0.344000,0.228000,low
ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18|ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,0.196000,0.484000,0.264000,low
ALBL-377b054a1f71b14c70428b5910256bbb843ebcec24665eff55383c467e7c9df7|ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,0.192000,0.268000,0.252000,low
ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18|ALBL-b54a07b05128f5872fa2d2cafea41ad88da5df11665216730e41d3f0d57f30ff,0.192000,0.696000,0.196000,low
ALBL-b05b2ef6bdc95c06ba891db690f7d2bd4fbc6bc9b317302a948bc3323352ed89|ALBL-ebe5f9209243e8cc0730f985167ab1298e9e6b87f738cbdaaa2789cd93dc9812,0.192000,0.212000,0.356000,low
ALBL-b47259c0f8ec7dc8b05a94acb2921670b00d27d9b8e2b94848653ffd4aa9c890|ALBL-cf2f15a296686c84d839bd68c5e7f9f4aa3c7531a3115b6d11bb4422a06a2037,0.184000,0.184000,0.284000,low
ALBL-6333d5595ce07957878659758f2179f94c4e244fc91a624bad260e48824e6d0a|ALBL-f1d17edd22455d0bb54bc9f551890a1040c9af1b1f7c4e516f53bb4c5cd7ad5b,0.180000,0.212000,0.204000,low
ALBL-b6fb9745908a9283df198b367153a16c8346bc5114b5856f9a7ffb412793e6ef|ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,0.180000,0.252000,0.192000,low
ALBL-24b00b86757b8524f811b193bdeb83ef1329a0c57055807a6ded111fa42e68f3|ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,0.176000,0.296000,0.192000,low
ALBL-1977978993b2949e4425ba3d1e00a27af4ff44e6123be893f0fff6439f76e7e3|ALBL-e46eba02dd6aeba07ab93fe500e9c0e763b4d30e10187dc7876ef527c9fca822,0.168000,0.252000,0.200000,low
ALBL-3dab537bbce562a80504255944b4f84168fe4cdfe736c5f5569088ee394644b6|ALBL-c8b292a6fd797d5864b6f98a4ca3145941af864722740d9be02e52bb5e4d4d14,0.168000,0.704000,0.180000,low
ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07|ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,0.164000,0.548000,0.168000,low
ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971|ALBL-b05b2ef6bdc95c06ba891db690f7d2bd4fbc6bc9b317302a948bc3323352ed89,0.164000,0.240000,0.292000,low
ALBL-5fd79266de1ca82a6a701b7b65788f6a770a569318a1351825159d92cf867337|ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309,0.160000,0.192000,0.260000,low
ALBL-93a39f5d64d4b1cd045f2ea90c301f10cfa84e6cb7474f61bb8f90b8b551a8bb|ALBL-b8557601edc484332b5e016a21d4bbb0916313ae828752e757fc70bab4e86dd4,0.156000,0.160000,0.228000,low
ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc|ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608,0.148000,0.388000,0.180000,low
ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608|ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,0.144000,0.348000,0.196000,low
ALBL-91e7e3cdbb244167ab7bd584a228ec96d1798f373702980135847af0b640afa5|ALBL-ec3093fcb691301b6cc4a5e0a5c9ee093e661b6b35b618255b5590bc4b0c8826,0.136000,0.180000,0.228000,low
ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309|ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,0.136000,0.196000,0.192000,low
ALBL-794d5a373c990e135a5ac3527a23c5c8c9431cb100be6cc02eaab0e303e3160e|ALBL-b4d84befc7e96dbb8387757e7d31f4727c1237610f3bd1ee0bea968bcd69b253,0.128000,0.132000,0.244000,low
ALBL-2807b98ea33a2a358a5e75262d1634d94c6402340cb7f15b88794a34f694ba24|ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc,0.120000,0.132000,0.244000,low
ALBL-4351325bff68d9ba2013f7254620f426c6d51a30ec2bb8dae4c1d2c8017071f4|ALBL-68861076b744e959ac73e2117efa8b1b2b9c67339252c49fa74c306ae22b118d,0.116000,0.128000,0.176000,low
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0|ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,0.096000,0.148000,0.144000,low
ALBL-de2120b6e55092ce5c5aa011967ce8dcfffae11ffbb993f47bdf018134f00676|ALBL-fc83eb0c2b9caf7b6655f612f98b6c57a3a90e33dadb1e65cb5c8eaae604cd5a,0.080000,0.284000,0.100000,low
ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07|ALBL-6470d1206d77a5344903490c8022085d5434995cb18f11140acf297a51a4c0f7,0.076000,0.292000,0.096000,low
ALBL-c28203421388af56e88d8f0ad4f9f31fd91f1b6e3815ee08511ee620b9046d21|ALBL-cd9f7aaab55c5ae86a60abdfb037d7af75d0de0443a6fade6adadc7eeab5a80f,0.072000,0.376000,0.092000,low
