artist_label_id,source_artist_label,label_attribution_status,eligible_song_count,eligible_written_line_occurrence_count,dominant_written_rhyme_family,dominant_family_share,adjacent_same_family_rate,local_four_line_family_echo_rate,local_echo_lift_over_iid_frequency_expectation,two_syllable_pattern_local_echo_rate,share_of_lines_in_adjacent_runs_of_two_or_more,normalised_family_entropy
ALBL-cd9f7aaab55c5ae86a60abdfb037d7af75d0de0443a6fade6adadc7eeab5a80f,杨和苏KeyNG,source_artist_label_not_externally_identity_verified,31,2411,I,0.154293,0.361215,0.575701,2.295335,0.341612,0.498134,0.920727
ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,Tizzy T,source_artist_label_not_externally_identity_verified,37,2018,I,0.159068,0.469775,0.614277,2.634079,0.345423,0.605055,0.933697
ALBL-cec5217a1ba6f2e262da20bd31748b0bc5f4f0dcc7dbf9542cd8d69ed4719a82,龙泽宇,source_artist_label_not_externally_identity_verified,29,1206,I,0.186567,0.512766,0.63617,2.771056,0.290288,0.612769,0.916782
ALBL-cf2f15a296686c84d839bd68c5e7f9f4aa3c7531a3115b6d11bb4422a06a2037,Sbazzo,source_artist_label_not_externally_identity_verified,31,1824,I,0.145285,0.578979,0.667072,2.703665,0.484498,0.808662,0.937117
ALBL-cf57a8e5d480a0b56c9f5fe5f01fab0e983c707be56f806e05dd881c68e0ca8b,大笑,source_artist_label_not_externally_identity_verified,22,1255,I,0.137052,0.434245,0.583407,2.424444,0.277482,0.624701,0.934547
ALBL-d13fe9410299857cfceb924ed5d382cb03b8828be0d06b68c0ed1aae716ebc34,辉子,source_artist_label_not_externally_identity_verified,22,1376,I,0.172965,0.502802,0.608487,2.275815,0.407526,0.728198,0.924659
ALBL-d5c64a06881af57c8b3bbebdc3498ac503532aca055565c510801f2c4b3c1178,卢慈航,source_artist_label_not_externally_identity_verified,28,1369,I,0.1271,0.491456,0.621644,2.495243,0.310822,0.663988,0.927143
ALBL-d7a92b911b2c469f9fb85d220c4cc53811a7f280d395332df796bd1660aeeee1,Kc,source_artist_label_not_externally_identity_verified,41,2258,AN,0.148804,0.607752,0.683204,2.855513,0.321928,0.749779,0.925438
ALBL-d7bb01eb8d746f1f9d0a1c46bb8ab67c980a36f3fbbdf2d4671c7ce7e040539c,Jarstick,source_artist_label_not_externally_identity_verified,30,2341,AN,0.131995,0.588762,0.71457,3.052441,0.499005,0.706963,0.937659
ALBL-d979019ce70ed85f25885322d6573ee2b06fc89d5d3a312f05d0e571d3c1e6b9,Higher Brothers,source_artist_label_not_externally_identity_verified,23,884,I,0.180995,0.546945,0.609538,2.872504,0.38152,0.63914,0.930161
ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,宝石老舅,source_artist_label_not_externally_identity_verified,35,2236,AN,0.126565,0.518897,0.673647,3.066434,0.234663,0.63864,0.951824
ALBL-dc8f1d73d2a7e7197ef9aa9abc2f54ad1c65f8c859a130403d44a3acdcbdb9a7,熊猫涂杰,source_artist_label_not_externally_identity_verified,41,2039,I,0.175576,0.631695,0.728327,2.871012,0.377901,0.772928,0.928172
ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,张雪飞,source_artist_label_not_externally_identity_verified,41,2302,A,0.140747,0.501509,0.637324,2.663646,0.196573,0.645091,0.922681
ALBL-de2120b6e55092ce5c5aa011967ce8dcfffae11ffbb993f47bdf018134f00676,No Fear Family,source_artist_label_not_externally_identity_verified,33,1707,AN,0.182191,0.569743,0.679389,2.576273,0.28353,0.680141,0.899955
ALBL-df36480d1c39db0bd7c57e8729258ffe1f0e03d719943c6ade41e38e9f4c0dcd,杀手耗,source_artist_label_not_externally_identity_verified,33,2101,I,0.146121,0.502851,0.639111,2.839847,0.411356,0.623989,0.932517
ALBL-e3629c2151d449562136201f8da51770a96f0b5e1d3ab3324e65c4f2fe40256d,揽佬,source_artist_label_not_externally_identity_verified,17,1032,I,0.106589,0.352188,0.534685,2.278441,0.239572,0.494186,0.939398
ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,艾福杰尼,source_artist_label_not_externally_identity_verified,34,1686,AN,0.14828,0.421534,0.572836,2.517806,0.28169,0.537367,0.945021
ALBL-e40ca6e7685b01b18b567faf579406988813bbc01e8d2aad140f8c9ed0986691,说唱东百人,source_artist_label_not_externally_identity_verified,23,1435,E,0.119861,0.402665,0.601036,2.301541,0.289318,0.535889,0.928282
ALBL-e46eba02dd6aeba07ab93fe500e9c0e763b4d30e10187dc7876ef527c9fca822,大傻 (Damnshine),source_artist_label_not_externally_identity_verified,23,1756,I,0.13041,0.477058,0.61336,2.686603,0.397297,0.593394,0.945287
ALBL-e60d314b51617b1122c7504e84f6cb188d601755a9f3ed2bf60c18533f42c483,龙井说唱 孙骁,source_artist_label_not_externally_identity_verified,15,943,I,0.229056,0.527842,0.648492,2.142844,0.168409,0.71474,0.884537
ALBL-e72e4ade8d97665aa4a2256764cb353dfa64deccf822922b70f06d7ee29f3c94,Dirty Twinz,source_artist_label_not_externally_identity_verified,13,678,EI,0.169617,0.534014,0.651361,2.46689,0.345238,0.707965,0.910121
ALBL-e85609f71a45bee71a1f0d38eca2780c52910c2125d64d1cc060c4aa63cb4114,那吾克热-NW,source_artist_label_not_externally_identity_verified,22,1515,O,0.149175,0.479725,0.624331,2.560688,0.322556,0.59736,0.927864
ALBL-e9a4c85e9728ea650fe95413c3e3e10896819996b77097c55e8b48164ad00e35,雲道,source_artist_label_not_externally_identity_verified,40,1631,I,0.163703,0.495957,0.651393,2.81525,0.392633,0.514408,0.920611
ALBL-eb108f2c1f83074b207ab2be2d7d69c06e433803fec18042e383702c08ae6036,Mac Overseas,source_artist_label_not_externally_identity_verified,23,1268,AN,0.161672,0.399043,0.576077,2.388117,0.326296,0.48817,0.918564
ALBL-ebe5f9209243e8cc0730f985167ab1298e9e6b87f738cbdaaa2789cd93dc9812,廖效浓,source_artist_label_not_externally_identity_verified,34,1328,I,0.24247,0.502762,0.576796,2.222721,0.309392,0.528614,0.873154
ALBL-ec1a6a5ce2ff06a97a913a555309205d1ec638937f61e263acda0f10b28e85aa,YoungChigga,source_artist_label_not_externally_identity_verified,43,1793,I,0.157278,0.528145,0.629604,2.758555,0.339819,0.631344,0.927265
ALBL-ec3093fcb691301b6cc4a5e0a5c9ee093e661b6b35b618255b5590bc4b0c8826,张颜齐,source_artist_label_not_externally_identity_verified,20,1336,I,0.194611,0.439212,0.621575,2.151203,0.268439,0.568862,0.891761
