edge_key,artist_label_id_a,artist_label_id_b,dominant_signal,interpretation_state,plain_evidence,language_percentile,line_ending_percentile,form_percentile,support_bucket
ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608|ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608,form,supported,"Similar writing-form profile: low repeated-line use, high Chinese-English mixing | Similar written line endings: -i, -e, -ou",82.5,94.3,97.7,40+ songs
ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608|ALBL-c8913c29ed1bccc83766366e0c593a46aecfcfec350af2ca425ad6fa27b75a61,ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608,ALBL-c8913c29ed1bccc83766366e0c593a46aecfcfec350af2ca425ad6fa27b75a61,language,supported,"Shared characteristic language: 成都, 娃儿, 演出, 晓得",99.2,87.8,88.8,40+ songs
ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971|ALBL-b05b2ef6bdc95c06ba891db690f7d2bd4fbc6bc9b317302a948bc3323352ed89,ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971,ALBL-b05b2ef6bdc95c06ba891db690f7d2bd4fbc6bc9b317302a948bc3323352ed89,lineEnding,supported,"Similar written line endings: -i, -e, -ai",42.4,98.6,80.1,20-39 songs
ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971|ALBL-cec5217a1ba6f2e262da20bd31748b0bc5f4f0dcc7dbf9542cd8d69ed4719a82,ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971,ALBL-cec5217a1ba6f2e262da20bd31748b0bc5f4f0dcc7dbf9542cd8d69ed4719a82,language,supported,Shared characteristic language: 感情,97.2,78.5,72.2,20-39 songs
ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0|ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0,language,supported,"Shared characteristic language: 怀念, 眼泪, 浪漫, 爱情 | Similar writing-form profile: low short-line writing, low repeated-line use",98.3,40.9,97.6,20-39 songs
ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8|ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf,ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf,semanticOnly,semantic-only,,35.0,85.2,55.4,40+ songs
ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18|ALBL-b54a07b05128f5872fa2d2cafea41ad88da5df11665216730e41d3f0d57f30ff,ALBL-b54a07b05128f5872fa2d2cafea41ad88da5df11665216730e41d3f0d57f30ff,ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18,language,supported,"Shared characteristic language: 拥抱 | Similar writing-form profile: high short-line writing, high repeated-line use",97.7,50.0,97.2,20-39 songs
ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18|ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18,ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,semanticOnly,semantic-only,,42.4,26.9,71.0,20-39 songs
ALBL-794d5a373c990e135a5ac3527a23c5c8c9431cb100be6cc02eaab0e303e3160e|ALBL-b4d84befc7e96dbb8387757e7d31f4727c1237610f3bd1ee0bea968bcd69b253,ALBL-b4d84befc7e96dbb8387757e7d31f4727c1237610f3bd1ee0bea968bcd69b253,ALBL-794d5a373c990e135a5ac3527a23c5c8c9431cb100be6cc02eaab0e303e3160e,semanticOnly,semantic-only,,42.4,85.2,13.4,20-39 songs
ALBL-7e9a60002d7d27bc747175d30b340b7dc85f9fd3a264c05f42b5130737e9af57|ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,ALBL-7e9a60002d7d27bc747175d30b340b7dc85f9fd3a264c05f42b5130737e9af57,language,supported,"Shared characteristic language: 晓得, 不得, 脑壳, 老子",99.7,87.6,83.9,20-39 songs
