artist_label_id,source_artist_label,label_attribution_status,clean_song_count,independent_clean_song_count,primary_raw_chunk_count,primary_effective_text_mass,primary_unique_clean_text_count,sensitivity_raw_chunk_count,sensitivity_effective_text_mass,sensitivity_unique_clean_text_count,shared_text_dropped_effective_mass,shared_text_dropped_mass_share,eligible_primary_support,eligible_sensitivity_support,graph_node_eligible,stable_graph_degree
ALBL-c8b292a6fd797d5864b6f98a4ca3145941af864722740d9be02e52bb5e4d4d14,谢帝,source_artist_label_not_externally_identity_verified,45,29,221,144.00000000,221,82,82.00000000,82,62.00000000,0.43055556,true,true,true,1
ALBL-8762d7f1c2a9a49588236a65e5651a3f2423b45ea022677de41afa8f2be2eacd,赣斯特,source_artist_label_not_externally_identity_verified,14,14,15,15.00000000,15,15,15.00000000,15,0.00000000,0.00000000,false,false,false,0
ALBL-89fcef5d9b763073e8b54afa5ed7fe58f06329b1fc1223fea93047e30703f75a,赵山河,source_artist_label_not_externally_identity_verified,45,35,100,73.16666667,100,47,47.00000000,47,26.16666667,0.35763098,true,true,true,0
ALBL-d13fe9410299857cfceb924ed5d382cb03b8828be0d06b68c0ed1aae716ebc34,辉子,source_artist_label_not_externally_identity_verified,33,25,68,47.50000000,68,28,28.00000000,28,19.50000000,0.41052632,true,true,true,0
ALBL-b2a691a1a1df18c00b161abfd5f160861921f76fd419e4a473cba62f11a6bdc2,辛巴,source_artist_label_not_externally_identity_verified,48,36,165,132.37857143,165,109,109.00000000,109,23.37857143,0.17660390,true,true,true,2
ALBL-624809a8c6f31530a20bced12f8eeb4a5292640bdb87ef4a277476da24a07d28,连麻Swimming,source_artist_label_not_externally_identity_verified,47,40,109,70.20000000,109,39,39.00000000,39,31.20000000,0.44444444,true,true,true,0
ALBL-c8913c29ed1bccc83766366e0c593a46aecfcfec350af2ca425ad6fa27b75a61,邓典果,source_artist_label_not_externally_identity_verified,47,31,149,102.95000000,149,74,74.00000000,74,28.95000000,0.28120447,true,true,true,1
ALBL-e85609f71a45bee71a1f0d38eca2780c52910c2125d64d1cc060c4aa63cb4114,那吾克热-NW,source_artist_label_not_externally_identity_verified,27,25,111,102.91666667,111,99,99.00000000,99,3.91666667,0.03805668,true,true,true,0
ALBL-cc5e5e267a45098cd771ea82a20f2b570a5743d6a5716f053f5cb1a8135557ea,那奇沃夫,source_artist_label_not_externally_identity_verified,48,35,145,121.28333333,145,105,105.00000000,105,16.28333333,0.13425862,true,true,true,0
ALBL-37f6eb87430a0b1d7a66bf0a89dab1ed85cf84803d73bee23b3b94e50f1a71be,金熙宇,source_artist_label_not_externally_identity_verified,18,17,41,37.00000000,41,33,33.00000000,33,4.00000000,0.10810811,true,true,true,0
ALBL-50741b2ec0bf3af4af14534601eb2b25106535e1be6e7fa756e6062fa54090e3,金蛇 traphouse,source_artist_label_not_externally_identity_verified,11,8,57,37.16666667,57,23,23.00000000,23,14.16666667,0.38116592,true,true,true,1
ALBL-37921b9bba417bf8b476a2b8eede50bf8d437c4a5c88e570fc34788c27637b0f,阿之,source_artist_label_not_externally_identity_verified,6,6,6,6.00000000,6,6,6.00000000,6,0.00000000,0.00000000,false,false,false,0
ALBL-794d5a373c990e135a5ac3527a23c5c8c9431cb100be6cc02eaab0e303e3160e,阿斯巴田,source_artist_label_not_externally_identity_verified,44,42,112,111.00000000,112,110,110.00000000,110,1.00000000,0.00900901,true,true,true,1
ALBL-bfd7ad7c97808d56342bd0a84bb1be7d9d1b4a221d6d2ad0b5e3f2c5c8605a17,阿水YoungBJ,source_artist_label_not_externally_identity_verified,42,41,58,57.00000000,58,56,56.00000000,56,1.00000000,0.01754386,true,true,true,0
ALBL-cac4dfe45e2a4ea3c8992080944a6e0c1092bbfea9b5a129b6b007d76b168d38,阿童木,source_artist_label_not_externally_identity_verified,17,17,45,45.00000000,45,45,45.00000000,45,0.00000000,0.00000000,true,true,true,0
ALBL-0a1a532fbfe9b4e01ba4d08dc1af1a73c305efb613a891a1b1339cbc2ef41bdc,隐藏,source_artist_label_not_externally_identity_verified,9,9,39,39.00000000,39,39,39.00000000,39,0.00000000,0.00000000,true,true,true,0
