artist_label_id,source_artist_label,label_attribution_status,external_identity_verified,graph_display_status
ALBL-9d041dfe49b31971ca7df1440a31023002ef9bfc53778672e8ebebf429a0563a,于漂 eZ Yang Fizz,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35,傲傲,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b05b2ef6bdc95c06ba891db690f7d2bd4fbc6bc9b317302a948bc3323352ed89,光光 (MC),source_artist_label_not_externally_identity_verified,false,eligible
ALBL-9058dcff6afd9940ff9cce807bf7bc883fe6f6d183c5e0958cba710bfa814a13,八口8uck,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-1347d8cb47ac4267756940fe68d3c6c4fc79c584d4f4a8b7761c7981696c39c2,冲天小火煎,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-314c2bafd9ac4593acb1cd858e97edf4ad5631f78cb356ce14019e732aa2ae48,刀脚,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,刘柄鑫,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-5fd79266de1ca82a6a701b7b65788f6a770a569318a1351825159d92cf867337,刘聪 (Key.L),source_artist_label_not_externally_identity_verified,false,eligible
ALBL-9b613de436fe8c5d5f656a17086440bfd0951848ec313d090cdaa5d763f706b6,功夫胖,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-d5c64a06881af57c8b3bbebdc3498ac503532aca055565c510801f2c4b3c1178,卢慈航,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-255b39be5ec120d92543e4e21dc87011282877c2b9e48c00579662e497eb22d4,吴晨阳,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-f7d16738e8a0e28cd1e8432bc528a43c0b30e4480724c7c5ec7308ebd620c3bc,吾人莲花,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309,呆宝静,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-65623a3761039229d202075602fbe3c5e5d8b7210fc23d540c0989b637c636ea,周士爵,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-0fad1a0628b44667e6d7ea5400c1265783ad07b0e8a6f5e211f741bc5456eff8,国蛋,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-36c9800bd02cf448b8d1cfd748568b7250020c76eac2b09be6443266d3246492,土人儿,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-57e56d22dd85362bb8105570741eef2f726eab5029f9510bb149e289c1cdb362,坚强的小黄瓜,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-0d10d90fcd6f9613167e94880a655155a1e2d6351e228824fcf59988dfbdd8f6,多雷 Swang,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-f17a363490fbf411d96b103d956dc0fa2f5ffeed1ce475e10c0db695c00b516d,大D,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-e46eba02dd6aeba07ab93fe500e9c0e763b4d30e10187dc7876ef527c9fca822,大傻 (Damnshine),source_artist_label_not_externally_identity_verified,false,eligible
ALBL-93a39f5d64d4b1cd045f2ea90c301f10cfa84e6cb7474f61bb8f90b8b551a8bb,大狗,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-cf57a8e5d480a0b56c9f5fe5f01fab0e983c707be56f806e05dd881c68e0ca8b,大笑,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-0b0fe4f2cc23badddb1c1ebb33c22cc45c6f41924b2d4b3172d8625fc7f6e4b2,天府事变CDREV,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b,姜云升,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-c4f90fc90e0c97b6dbc57501292e9b4898caa889c277d3081e18c242f774cae2,嫩桃弟弟,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-2b47111c3ae429f7fd49243653f4b70387bf44642bbb3d8c30fd5cc8b8063b34,孔令奇,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-9a6e97105d9c2dcd37f9aa00e1e58b3712106f810dd58f474ec3d433a911bc18,孙八一,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-653f823573f2940bf2c73dfbdb26faef76f3062d797274a12eade0e8fd765269,孤矢,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-a13851eed206dc95ee5bf9de5c55d89096b3437b8f61ef75701924f13c7f36d4,孩子王jake,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,宝石老舅,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-ac709d4648f29c1d718b72ec5675ba04f5baeef5fbcc248d1a6661df48b83c94,小老虎,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-fd0a058a50b05e2475b35bc7a53f2535fc78c8526b94226cb77723f1e78637ef,小酷coola,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-24b00b86757b8524f811b193bdeb83ef1329a0c57055807a6ded111fa42e68f3,小青龙,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,小鸭哥,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-ebe5f9209243e8cc0730f985167ab1298e9e6b87f738cbdaaa2789cd93dc9812,廖效浓,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b4d84befc7e96dbb8387757e7d31f4727c1237610f3bd1ee0bea968bcd69b253,张千,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-7d11225e8215022166cdd99505ba4f36a0b1b68bf5f51c1a126237b869768989,张大炮,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-4bb05b26b033e51b302734b46f2eb692427032b35812dc5dd0134dd86f45fb6a,张愚歌,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-45fb690b1fa5ef0d23dbeb44ff194f49e6899ee138d850ccb0f8ca44cf44f801,张昊,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,张雪飞,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-ec3093fcb691301b6cc4a5e0a5c9ee093e661b6b35b618255b5590bc4b0c8826,张颜齐,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-1136c276f991eb3cba877aef2044b57a9b940feb6a4d3695540916113c5aafd5,弹壳,source_artist_label_not_externally_identity_verified,false,eligible
