artist_label_id_a,source_artist_label_a,artist_label_id_b,source_artist_label_b,primary_rank_a_to_b,primary_rank_b_to_a,primary_cosine_similarity,primary_pair_percentile,sensitivity_rank_a_to_b,sensitivity_rank_b_to_a,sensitivity_cosine_similarity,sensitivity_pair_percentile,stable_across_shared_text_exclusion,edge_definition
ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35,傲傲,ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9,梁老师Tsong,1,2,0.98273256,99.86477350,1,2,0.98207386,99.96136386,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b05b2ef6bdc95c06ba891db690f7d2bd4fbc6bc9b317302a948bc3323352ed89,光光 (MC),ALBL-ebe5f9209243e8cc0730f985167ab1298e9e6b87f738cbdaaa2789cd93dc9812,廖效浓,3,3,0.98133093,99.68608133,1,3,0.97955287,99.83096687,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,刘柄鑫,ALBL-93a39f5d64d4b1cd045f2ea90c301f10cfa84e6cb7474f61bb8f90b8b551a8bb,大狗,3,3,0.97540167,97.07331208,4,3,0.97441471,98.58495122,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,刘柄鑫,ALBL-653f823573f2940bf2c73dfbdb26faef76f3062d797274a12eade0e8fd765269,孤矢,4,2,0.97515650,96.86081329,3,1,0.97447875,98.61875785,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,刘柄鑫,ALBL-45fb690b1fa5ef0d23dbeb44ff194f49e6899ee138d850ccb0f8ca44cf44f801,张昊,1,2,0.97890696,99.10653917,1,2,0.97499077,98.80227953,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-5fd79266de1ca82a6a701b7b65788f6a770a569318a1351825159d92cf867337,刘聪 (Key.L),ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309,呆宝静,4,1,0.98015538,99.42045784,1,1,0.97978841,99.86960301,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309,呆宝静,ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,宝石老舅,3,4,0.97942772,99.24176567,5,3,0.97723476,99.44943495,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-f17a363490fbf411d96b103d956dc0fa2f5ffeed1ce475e10c0db695c00b516d,大D,ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a,河南说唱之神,2,1,0.97814680,98.80710905,3,1,0.97627478,99.21278856,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-e46eba02dd6aeba07ab93fe500e9c0e763b4d30e10187dc7876ef527c9fca822,大傻 (Damnshine),ALBL-1977978993b2949e4425ba3d1e00a27af4ff44e6123be893f0fff6439f76e7e3,雾都 (Wudu Montana),2,4,0.98011814,99.41562832,1,5,0.97618218,99.17898194,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b,姜云升,ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,张雪飞,1,3,0.97758216,98.51733797,1,3,0.97738297,99.48324157,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
